1485,416,720,312,-388,0
1585,392,690,312,-388,0
2055,357,550,312,-388,0
2863,417,310,312,-388,0
3268,375,190,312,-388,0

265,398,730,320,-380,0
503,356,660,320,-380,0
944,317,530,320,-380,0
1617,327,330,320,-380,0
1920,282,240,320,-380,0
2358,243,110,320,-380,0
2491,213,70,320,-380,0
2894,171,350,385,-315,0
3198,126,260,385,-315,1
3734,102,100,385,-315,1


98,323,780,408,-292,0
268,288,730,408,-292,0
302,279,720,408,-292,0
635,234,620,408,-292,0
1175,210,460,408,-292,0
1444,166,380,408,-292,0
1478,157,370,408,-292,0
1645,122,320,408,-292,0

1537,455,700,445,-255,0
1672,425,660,445,-255,0
1942,381,580,445,-255,0
2247,336,490,445,-255,0
2582,291,390,445,-255,0
2749,256,340,445,-255,0
3655,364,70,445,-255,0
4224,347,300,355,-345,1
4258,338,290,355,-345,1
4765,308,140,355,-345,1

325,435,710,306,-394,0
359,426,700,306,-394,0

162,350,760,455,-245,0
998,425,510,455,-245,0
1367,381,400,455,-245,0
1433,364,380,455,-245,0
1634,325,320,455,-245,0
2138,295,170,455,-245,0

57,311,790,442,-258,0
158,287,760,442,-258,0
257,263,730,442,-258,0
291,254,720,442,-258,0
797,224,570,442,-258,0
1032,182,500,442,-258,0
1505,147,360,442,-258,0
1539,138,350,442,-258,0
1572,129,340,442,-258,0
1979,87,220,442,-258,0
2315,42,120,442,-258,0

